en|of Thrones is an American fantasy drama television series created by David Benioff and D. 
en|B. Weiss for HBO. It is an adaptation of A Song of Ice and Fire, 
en|George R. R. Martin's series of fantasy novels, the first of which is A Game 
en|of Thrones. The show was both produced and filmed in Belfast and elsewhere in the 
en|United Kingdom. Filming locations also included Canada, Croatia, Iceland, Malta, Morocco, and Spain.[4] The series 
en|premiered on HBO in the United States on April 17, 2011, and concluded on May 
en|on the fictional continents of Westeros and Essos, Game of Thrones has several plots and 
en|a large ensemble cast and follows several story arcs. One arc is about the Iron 
en|Throne of the Seven Kingdoms and follows a web of alliances and conflicts among the 
en|noble dynasties either vying to claim the throne or fighting for independence from it. Another 
en|focuses on the last descendant of the realm's deposed ruling dynasty, who has been exiled 
en|and is plotting a return to the throne, while another story arc follows the Night's 
en|Watch, a brotherhood defending the realm against the fierce peoples and legendary creatures of the 
en|of Thrones attracted a record viewership on HBO and has a broad, active, and international 
en|fan base. The series was acclaimed by critics for its acting, complex characters, story, scope, 
en|and production values, although its frequent use of nudity and violence (including sexual violence) was 
en|criticized; the final season received further criticism for its condensed story and creative decisions, with 
en|many considering it a disappointing conclusion. The series received 58 Primetime Emmy Awards, the most 
en|by a drama series, including Outstanding Drama Series in 2015, 2016, 2018, and 2019. Its 
en|other awards and nominations include three Hugo Awards for Best Dramatic Presentation (2012–2014), a 2011 
en|Peabody Award, and five nominations for the Golden Globe Award for Best Television Series – 
en|Drama (2012 and 2015–2018). In 2019, the show's final season established a new record for 
en|most Emmy nominations received in the same year by any regular series with 32, breaking 
en|the 25-year-long record of 26 nominations established by NYPD Blue in 1994; it also established 
en|Game of Thrones as the drama series with the most overall Emmy nominations, with a 
en|the ensemble cast, Peter Dinklage has won four Primetime Emmy Awards for Outstanding Supporting Actor 
en|in a Drama Series (2011, 2015, 2018, and 2019) and the Golden Globe Award for 
en|Best Supporting Actor – Series, Miniseries or Television Film (2012) for his performance as Tyrion 
en|Lannister. Alfie Allen, Gwendoline Christie, Emilia Clarke, Nikolaj Coster-Waldau, Lena Headey, Kit Harington, Sophie Turner, 
en|Diana Rigg, Carice van Houten, Max von Sydow, and Maisie Williams have also received Primetime 
en|also: Synopsis of A Song of Ice and Fire and World of A Song of 
en|of Thrones is roughly based on the storylines of A Song of Ice and Fire,[6][7] 
en|set in the fictional Seven Kingdoms of Westeros and the continent of Essos. The series 
en|chronicles the violent dynastic struggles among the realm's noble families for the Iron Throne, while 
en|other families fight for independence from it. It opens with additional threats in the icy 
en|David Benioff jokingly suggested "The Sopranos in Middle-earth" as Game of Thrones' tagline, referring to 
en|its intrigue-filled plot and dark tone in a fantasy setting of magic and dragons.[9] In 
en|a 2012 study, out of 40 recent television drama shows, Game of Thrones ranked second 
en|of Thrones has an ensemble cast estimated to be the largest on television.[11] In 2014, 
en|several actor contracts were renegotiated to include a seventh-season option, with raises which reportedly made 
en|them among the highest-paid performers on cable television.[12] In 2016, several actor contracts were again 
en|renegotiated, reportedly increasing the salary of five of the main cast members to $1 million 
en|per episode for the last two seasons, which would make them the highest paid actors 
en|Eddard "Ned" Stark (Sean Bean) is the head of House Stark, whose members are involved 
en|in plotlines throughout most of the series. He and his wife, Catelyn Tully (Michelle Fairley), 
en|have five children: Robb (Richard Madden), the eldest; followed by Sansa (Sophie Turner), Arya (Maisie 
en|Williams), Bran (Isaac Hempstead-Wright), and Rickon (Art Parkinson). Ned's illegitimate son Jon Snow (Kit Harington) 
en|and his friend Samwell Tarly (John Bradley) serve in the Night's Watch under Lord Commander 
en|Jeor Mormont (James Cosmo). The Wildlings living north of the Wall include the young Gilly 
en|associated with House Stark include Ned's ward Theon Greyjoy (Alfie Allen), his vassal Roose Bolton 
en|(Michael McElhatton), and Bolton's bastard son Ramsay Snow (Iwan Rheon). Robb falls in love with 
en|the healer Talisa Maegyr (Oona Chaplin), and Arya befriends the blacksmith's apprentice Gendry (Joe Dempsie) 
en|and the assassin Jaqen H'ghar (Tom Wlaschiha). The tall warrior Brienne of Tarth (Gwendoline Christie) 
en|King's Landing, the capital, Ned's friend King Robert Baratheon (Mark Addy), shares a loveless marriage 
en|with Cersei Lannister (Lena Headey), who has taken her twin brother, the "Kingslayer" Ser Jaime 
en|Lannister (Nikolaj Coster-Waldau), as her lover. She loathes her younger brother, the dwarf Tyrion Lannister 
en|(Peter Dinklage), who is attended by his mistress Shae (Sibel Kekilli) and the sellsword Bronn 
en|(Jerome Flynn). Cersei's father is Lord Tywin Lannister (Charles Dance), and she also has two 
en|young sons: Joffrey (Jack Gleeson) and Tommen (Dean-Charles Chapman). Joffrey is guarded by the scar-faced 
en|king's Small Council of advisors includes the crafty Master of Coin Lord Petyr "Littlefinger" Baelish 
en|(Aidan Gillen) and the eunuch spymaster Lord Varys (Conleth Hill). Robert's brother Stannis Baratheon (Stephen 
en|Dillane) is advised by foreign priestess Melisandre (Carice van Houten) and former smuggler Ser Davos 
en|Seaworth (Liam Cunningham). The wealthy Tyrell family is represented at court by Margaery Tyrell (Natalie 
en|Dormer). The High Sparrow (Jonathan Pryce) is the capital's religious leader. In the southern principality 
en|the Narrow Sea, siblings Viserys (Harry Lloyd) and Daenerys Targaryen (Emilia Clarke) – the exiled 
en|children of the last king of the original ruling dynasty, who was overthrown by Robert 
en|Baratheon – are running for their lives and trying to win back the throne. Daenerys 
en|marries Khal Drogo (Jason Momoa), the leader of the nomadic Dothraki. Her retinue includes the 
en|exiled knight Ser Jorah Mormont (Iain Glen), her aide Missandei (Nathalie Emmanuel), the sellsword Daario 
en|Naharis (Michiel Huisman), and Grey Worm (Jacob Anderson), who leads Daenerys' army of elite eunuch-warriors, 
en|D. B. Weiss and David Benioff created the series, wrote most of its episodes and 
en|January 2006, David Benioff had a phone conversation with George R. R. Martin's literary agent 
en|about the books he represented and became interested in A Song of Ice and Fire, 
en|as he had been a fan of fantasy fiction when young but had not read 
en|the books before. The literary agent then sent Benioff the series' first four books.[16] Benioff 
en|read a few hundred pages of the first novel, A Game of Thrones, shared his 
en|enthusiasm with D. B. Weiss, and suggested that they adapt Martin's novels into a television 
en|series; Weiss finished the first novel in "maybe 36 hours".[17] They pitched the series to 
en|HBO after a five-hour meeting with Martin (himself a veteran screenwriter) in a restaurant on 
en|Santa Monica Boulevard. According to Benioff, they won Martin over with their answer to his 
en|had worked in Hollywood myself for about 10 years, from the late '80s to the 
en|'90s. I'd been on the staff of The Twilight Zone and Beauty and the Beast. 
en|All of my first drafts tended to be too big or too expensive. I always 
en|hated the process of having to cut. I said, 'I'm sick of this, I'm going 
en|to write something that's as big as I want it to be, and it's going 
en|to have a cast of characters that go into the thousands, and I'm going to 
en|being approached by Benioff and Weiss, Martin had had other meetings with other scriptwriters, most 
en|of whom wanted to adapt the series as a feature film. Martin, however, deemed it 
en|"unfilmable" and impossible to be done as a feature film, stating that the size of 
en|one of his novels is as long as The Lord of the Rings, which had 
en|been adapted as three feature films.[19] Similarly, Benioff also said that it would be impossible 
en|to turn the novels into a feature film as the scale of the novels is 
en|too big for a feature film, and dozens of characters would have to be discarded. 
en|Benioff added, "a fantasy movie of this scope, financed by a major studio, would almost 
en|certainly need a PG-13 rating. That means no sex, no blood, no profanity. Fuck that."[20] 
en|Martin himself was pleased with the suggestion that they adapt it as an HBO series, 
en|saying that he "never imagined it anywhere else".[21] "I knew it couldn't be done as 
en|a network television series. It's too adult. The level of sex and violence would never 
en|series began development in January 2007.[6] HBO acquired the television rights to the novels, with 
en|Benioff and Weiss as its executive producers, and Martin as a co-executive producer. The intention 
en|was for each novel to yield a season's worth of episodes.[6] Initially, Martin would write 
en|one episode per season while Benioff and Weiss would write the rest of the episodes.[6][22] 
en|Jane Espenson and Bryan Cogman were later added to write one episode apiece the first 
en|first and second drafts of the pilot script by Benioff and Weiss were submitted in 
en|August 2007[23] and June 2008,[24] respectively. Although HBO liked both drafts,[24][25] a pilot was not 
en|ordered until November 2008;[26] the 2007–2008 Writers Guild of America strike may have delayed the 
en|process.[25] The pilot episode, "Winter Is Coming", was first shot in 2009; after a poor 
en|reception in a private viewing, HBO demanded an extensive re-shoot (about 90 percent of the 
en|pilot reportedly cost HBO US$5–10 million to produce,[28] while the first season's budget was estimated 
en|at $50–60 million.[29] In the second season, the series received a 15-percent budget increase for 
en|the climactic battle in "Blackwater" (which had an $8 million budget).[30][31] Between 2012 and 2015, 
en|the average budget per episode increased from $6 million[32] to "at least" $8 million.[33] The 
en|sixth-season budget was over $10 million per episode, for a season total of over $100 
en|series is generally praised for what is perceived as a sort of medieval realism.[35][36] George 
en|R.R. Martin set out to make the story feel more like historical fiction than contemporary 
en|fantasy, with less emphasis on magic and sorcery and more on battles, political intrigue, and 
en|the characters, believing that magic should be used moderately in the epic fantasy genre.[37][38][20] Martin 
en|has stated that "the true horrors of human history derive not from orcs and Dark 
en|common theme in the fantasy genre is the battle between good and evil, which Martin 
en|says does not mirror the real world.[40] Just like people's capacity for good and for 
en|evil in real life, Martin explores the questions of redemption and character change.[41] The series 
en|allows the audience to view different characters from their perspective, unlike in many other fantasies, 
en|and thus the supposed villains can provide their side of the story.[20][42] Benioff said, "George 
en|brought a measure of harsh realism to high fantasy. He introduced gray tones into a 
en|early seasons, under the influence of the A Song of Ice and Fire books, main 
en|characters were regularly killed off, and this was credited with developing tension among viewers.[43] In 
en|later seasons, critics pointed out that certain characters had developed "plot armor" to survive in 
en|unlikely circumstances, and attributed this to Game of Thrones deviating from the novels to become 
en|more of a traditional television series.[43] The series also reflects the substantial death rates in 
en|the first season closely follows the events of the first novel, later seasons have made 
en|significant changes. According to David Benioff, the TV adaptation is "about adapting the series as 
en|a whole and following the map George laid out for us and hitting the major 
en|novels and their adaptations base aspects of their settings, characters, and plot on events in 
en|European history.[47] Most of Westeros is reminiscent of high medieval Europe, from lands and cultures,[48] 
en|to the palace intrigue, feudal system, castles, and knightly tournaments. A principal inspiration for the 
en|novels is the English Wars of the Roses[49] (1455–1485) between the houses of Lancaster and 
en|York, reflected in Martin's houses of Lannister and Stark. The scheming Cersei Lannister evokes Isabella, 
en|the "she-wolf of France" (1295–1358).[47] She and her family, as portrayed in Maurice Druon's historical 
en|historical antecedents of series elements include Hadrian's Wall (which becomes Martin's Wall), the Roman Empire, 
en|and the legend of Atlantis (ancient Valyria), Byzantine Greek fire ("wildfire"), Icelandic sagas of the 
en|Viking Age (the Ironborn), the Mongol hordes (the Dothraki), the Hundred Years' War, and the 
en|Italian Renaissance.[47] The series' popularity has been attributed, in part, to Martin's skill at fusing 
en|these elements into a seamless, credible version of alternate history.[47] Martin acknowledges, "I take [history] 
en|Gold and Robert Sterne are the series' primary casting directors.[52] Through a process of auditions 
en|and readings, the main cast was assembled. The only exceptions were Peter Dinklage and Sean 
en|Bean, whom the writers wanted from the start; they were announced as joining the pilot 
en|in 2009.[53][54] Other actors signed for the pilot were Kit Harington as Jon Snow, Jack 
en|Gleeson as Joffrey Baratheon, Harry Lloyd as Viserys Targaryen, and Mark Addy as Robert Baratheon.[54][55] 
en|Addy was, according to showrunners Benioff and Weiss, the easiest actor to cast for the 
en|series, due to his audition performance.[56] Some of the characters in the pilot were recast 
en|for the first season: Catelyn Stark was initially played by Jennifer Ehle, but the role 
en|was recast with Michelle Fairley.[57] Daenerys Targaryen was also recast, with Emilia Clarke replacing Tamzin 
en|Merchant.[58][59] The rest of the first season's cast was filled in the second half of 
en|many of the cast returned after the first season, the producers had many new characters 
en|to cast for each of the following seasons. Due to the large number of new 
en|characters, Benioff and Weiss postponed the introduction of several key characters in the second season 
en|and merged several characters into one or assigned plot functions to different characters.[11] Some recurring 
en|characters were recast over the years; for example, Gregor Clegane was played by three different 
en|R. R. Martin, author of A Song of Ice and Fire, is a series co-executive 
